company,date,payment_type,study,PI,payment
Allergan Inc.,2016-04-25,In-kind items and services,"A PHASE 3, RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED, PARALLEL-GROUP, MULTICENTER, FIXED-DOSE CLINICAL TRIAL EVALUATING THE EFFICACY, SAFETY AND TOLERABILITY OF CARIPRAZINE IN PATIENTS WITH BIPOLAR I DEPRESSION",322890,47
Allergan Inc.,2016-04-25,In-kind items and services,"A PHASE 3, RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED, PARALLEL-GROUP, MULTICENTER, FIXED-DOSE CLINICAL TRIAL EVALUATING THE EFFICACY, SAFETY AND TOLERABILITY OF CARIPRAZINE IN PATIENTS WITH BIPOLAR I DEPRESSION",322890,125
"Genentech, Inc.",2016-04-25,Cash or cash equivalent,A PHASE III TRIAL IN ADJUVANT HER2 BC PTS,760719,15228
Novo Nordisk AS,2016-04-26,Cash or cash equivalent,NN7008-3809,500528,1748
Allergan Inc.,2016-04-27,Cash or cash equivalent,"AN OPEN LABEL, LONG-TERM STUDY TO ASSESS THE IMMUNOGENICITY OF LINACLOTIDE ADMINISTERED ORALLY TO ADULT PATIENTS WITH IRRITABLE BOWEL SYNDROME WITH CONSTIPATION OR CHRONIC IDIOPATHIC CONSTIPATION",322890,44
Allergan Inc.,2016-04-27,Cash or cash equivalent,"AN OPEN LABEL, LONG-TERM STUDY TO ASSESS THE IMMUNOGENICITY OF LINACLOTIDE ADMINISTERED ORALLY TO ADULT PATIENTS WITH IRRITABLE BOWEL SYNDROME WITH CONSTIPATION OR CHRONIC IDIOPATHIC CONSTIPATION",322890,44
Allergan Inc.,2016-04-27,Cash or cash equivalent,"AN OPEN LABEL, LONG-TERM STUDY TO ASSESS THE IMMUNOGENICITY OF LINACLOTIDE ADMINISTERED ORALLY TO ADULT PATIENTS WITH IRRITABLE BOWEL SYNDROME WITH CONSTIPATION OR CHRONIC IDIOPATHIC CONSTIPATION",322890,75
Allergan Inc.,2016-04-27,Cash or cash equivalent,"AN OPEN LABEL, LONG-TERM STUDY TO ASSESS THE IMMUNOGENICITY OF LINACLOTIDE ADMINISTERED ORALLY TO ADULT PATIENTS WITH IRRITABLE BOWEL SYNDROME WITH CONSTIPATION OR CHRONIC IDIOPATHIC CONSTIPATION",322890,33
Allergan Inc.,2016-04-27,Cash or cash equivalent,"AN OPEN LABEL, LONG-TERM STUDY TO ASSESS THE IMMUNOGENICITY OF LINACLOTIDE ADMINISTERED ORALLY TO ADULT PATIENTS WITH IRRITABLE BOWEL SYNDROME WITH CONSTIPATION OR CHRONIC IDIOPATHIC CONSTIPATION",322890,44
Allergan Inc.,2016-04-27,Cash or cash equivalent,"AN OPEN LABEL, LONG-TERM STUDY TO ASSESS THE IMMUNOGENICITY OF LINACLOTIDE ADMINISTERED ORALLY TO ADULT PATIENTS WITH IRRITABLE BOWEL SYNDROME WITH CONSTIPATION OR CHRONIC IDIOPATHIC CONSTIPATION",322890,5
Allergan Inc.,2016-04-27,In-kind items and services,"AN OPEN LABEL, LONG-TERM STUDY TO ASSESS THE IMMUNOGENICITY OF LINACLOTIDE ADMINISTERED ORALLY TO ADULT PATIENTS WITH IRRITABLE BOWEL SYNDROME WITH CONSTIPATION OR CHRONIC IDIOPATHIC CONSTIPATION",322890,44
Allergan Inc.,2016-04-27,Cash or cash equivalent,"AN OPEN LABEL, LONG-TERM STUDY TO ASSESS THE IMMUNOGENICITY OF LINACLOTIDE ADMINISTERED ORALLY TO ADULT PATIENTS WITH IRRITABLE BOWEL SYNDROME WITH CONSTIPATION OR CHRONIC IDIOPATHIC CONSTIPATION",322890,44
Allergan Inc.,2016-04-27,Cash or cash equivalent,"AN OPEN LABEL, LONG-TERM STUDY TO ASSESS THE IMMUNOGENICITY OF LINACLOTIDE ADMINISTERED ORALLY TO ADULT PATIENTS WITH IRRITABLE BOWEL SYNDROME WITH CONSTIPATION OR CHRONIC IDIOPATHIC CONSTIPATION",322890,30
Allergan Inc.,2016-04-27,Cash or cash equivalent,"AN OPEN LABEL, LONG-TERM STUDY TO ASSESS THE IMMUNOGENICITY OF LINACLOTIDE ADMINISTERED ORALLY TO ADULT PATIENTS WITH IRRITABLE BOWEL SYNDROME WITH CONSTIPATION OR CHRONIC IDIOPATHIC CONSTIPATION",322890,33
Allergan Inc.,2016-04-27,Cash or cash equivalent,"AN OPEN LABEL, LONG-TERM STUDY TO ASSESS THE IMMUNOGENICITY OF LINACLOTIDE ADMINISTERED ORALLY TO ADULT PATIENTS WITH IRRITABLE BOWEL SYNDROME WITH CONSTIPATION OR CHRONIC IDIOPATHIC CONSTIPATION",322890,20
Allergan Inc.,2016-04-27,In-kind items and services,"AN OPEN LABEL, LONG-TERM STUDY TO ASSESS THE IMMUNOGENICITY OF LINACLOTIDE ADMINISTERED ORALLY TO ADULT PATIENTS WITH IRRITABLE BOWEL SYNDROME WITH CONSTIPATION OR CHRONIC IDIOPATHIC CONSTIPATION",322890,44
Allergan Inc.,2016-04-27,In-kind items and services,"AN OPEN LABEL, LONG-TERM STUDY TO ASSESS THE IMMUNOGENICITY OF LINACLOTIDE ADMINISTERED ORALLY TO ADULT PATIENTS WITH IRRITABLE BOWEL SYNDROME WITH CONSTIPATION OR CHRONIC IDIOPATHIC CONSTIPATION",322890,33
"Seattle Genetics, Inc.",2016-04-27,Cash or cash equivalent,SG0350014,366054,3275
"CardioFocus, Inc.",2016-04-28,Cash or cash equivalent,Pivotal Clinical Study of the CardioFocus Endoscopic Ablation System - Adaptive Contact,281489,5937.5
"Abbvie, Inc.",2016-04-29,In-kind items and services,CU-01,366054,390.39
"Abbvie, Inc.",2016-04-29,In-kind items and services,CU-01,366054,39511.36
"Abbvie, Inc.",2016-04-29,In-kind items and services,CU-01,366054,1672.86
"AbbVie, Inc.",2016-05-02,Cash or cash equivalent,M14-360,1194702,8147.5
Allergan Inc.,2016-05-02,Cash or cash equivalent,AN OPEN-LABEL LONG-TERM SAFETY STUDY OF VILAZODONE IN PEDIATRIC PATIENTS WITH MAJOR DEPRESSIVE DISORDER,NA,4555.25
"Takeda Development Center Americas, Inc.",2016-05-02,Cash or cash equivalent,"A Randomized, Double-Blind, Placebo-Controlled, Phase 4, Relapse Prevention Study Evaluating the Efficacy and Safety of Vortioxetine 5, 10 and 20 mg in Adults With Major Depressive Disorder",316643,668.75
"AbbVie, Inc.",2016-05-05,Cash or cash equivalent,M14-360,1194702,2375
"Actelion Pharmaceuticals US, Inc.",2016-05-06,Cash or cash equivalent,OPUS - AC-055-503,199176,1200
F. Hoffmann-La Roche AG,2016-05-09,Cash or cash equivalent,GDC0199 FNHL PHASE II,631489,1963.73
F. Hoffmann-La Roche AG,2016-05-09,Cash or cash equivalent,GDC0199 FNHL PHASE II,631489,2096.81
"AbbVie, Inc.",2016-05-11,Cash or cash equivalent,M13-740,594186,3574.25
Cook Research Incorporated,2016-05-11,Cash or cash equivalent,Zenith Dissection Endovascular System pivotal stud,124369,1050
Cook Research Incorporated,2016-05-11,Cash or cash equivalent,Evolution Biliary Fully Covered (Malignant),806291,480
Cook Research Incorporated,2016-05-11,Cash or cash equivalent,NA,NA,1050
"Zimmer Biomet Holdings, Inc.",2016-05-11,Cash or cash equivalent,Comprehensive Shoulder System with Nano Humeral Component IDE Study,112215,8937.5
"CardioFocus, Inc.",2016-05-12,Cash or cash equivalent,Pivotal Clinical Study of the CardioFocus Endoscopic Ablation System - Adaptive Contact,281489,3562
Boston Scientific Corporation,2016-05-13,Cash or cash equivalent,CLINICAL EVALUATION OF THE BLAZER OPEN-IRRIGATED ABLATION CA,281489,4171.28
"Genentech, Inc.",2016-05-13,Cash or cash equivalent,APDL1 BLADDER EAP,266016,12606.3
Allergan Inc.,2016-05-16,Cash or cash equivalent,"A MULTICENTER, DOUBLE BLIND, PLACEBO AND ACTIVE-CONTROLLED PARALLEL-GROUP EVALUATION OF THE SAFETY AND EFFICACY OF VILAZODONE IN PEDIATRIC PATIENTS WITH MAJOR DEPRESSIVE DISORDE",81927,3904.5
Novartis Pharmaceuticals Corporation,2016-05-16,Cash or cash equivalent,A SINGLE ARM OPEN LABEL MULTICENTER STUDY EVALUATING THE LONG TERM SAFETY AND TOLERABILITY OF HALF OF A MG FINGOLIMOD FTY720 ADMINISTERED ORALLY ONCE DAILY IN PATIENTS WITH RELAPSING FORMS OF MULTIPLE SCLEROSIS,74842,181961.09
"Abbvie, Inc.",2016-05-17,In-kind items and services,CU-01,366054,438.13
"Genentech, Inc.",2016-05-17,Cash or cash equivalent,PRISMS,NA,2e3
Purdue Pharma,2016-05-17,Cash or cash equivalent,063-013,NA,172530
Edwards Lifesciences Corporation,2016-05-18,Cash or cash equivalent,Evaluation of the SAPIEN 3 Transcatheter Heart Valve in Patients With Pulmonary Valve Dysfunction COMPASSION S3,217198,16250
"Siemens Medical Solutions USA, Inc.",2016-05-18,Cash or cash equivalent,Blood collection from emergency department cardiac patient volunteers: Protocol no. MCSA-Multiplatform-201303.PRO,931365,20550
"Siemens Medical Solutions USA, Inc.",2016-05-18,Cash or cash equivalent,UVA Haskal AX 2015 Body,99365,16199.5
Valeant Pharmaceuticals North America LLC,2016-05-19,Cash or cash equivalent,A REGISTRY OF SIPULEUCEL-T THERAPY IN MEN WITH ADVANCED PROSTATE CANCER,211357,1649
"Actelion Pharmaceuticals, Ltd",2016-05-20,Cash or cash equivalent,AC-055-205,199176,5300
"Actelion Pharmaceuticals, Ltd",2016-05-20,Cash or cash equivalent,AC-055-205,199176,2e3
"Actelion Pharmaceuticals, Ltd",2016-05-20,Cash or cash equivalent,AC-055-205,199176,2500
Pfizer Inc.,2016-05-23,Cash or cash equivalent,Sertraline Pediatric Registry for the Evaluation of Safety SPRITES,81927,625
"Ceterix Orthopaedics, Inc.",2016-05-24,Cash or cash equivalent,Comparative Study of the Ceterix Suture Pattern vs. the FastFix 360 for Meniscus Tears,955960,9165
"Genentech, Inc.",2016-05-24,Cash or cash equivalent,A PHASE III MULTICENTER RANDOMIZED DOUBLE MASKED,19168,24532.5
SANOFI US SERVICES INC.,2016-05-25,Cash or cash equivalent,"A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Study to Evaluate the Effect of Alirocumab (SAR236553/REGN727) on the Occurrence of Cardiovascular Events in Patients Who Have Recently E",1043167,1705
SANOFI US SERVICES INC.,2016-05-25,In-kind items and services,"A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Study to Evaluate the Effect of Alirocumab (SAR236553/REGN727) on the Occurrence of Cardiovascular Events in Patients Who Have Recently E",1043167,12.54
"Siemens Medical Solutions USA, Inc.",2016-05-25,Cash or cash equivalent,Blood collection from emergency department cardiac patient volunteers: Protocol no. MCSA-Multiplatform-201303.PRO,931365,151.2
Novo Nordisk AS,2016-05-26,Cash or cash equivalent,NN7008-3809,500528,1445.6
Sorin Group USA Inc.,2016-05-26,Cash or cash equivalent,Mitroflow,188640,4650
Eli Lilly and Company,2016-05-27,In-kind items and services,A PHASE II STUDY OF THE COMBINATION OF LY3023414 AND NECITUMUMAB AFTER FIRST-LINE CHEMOTHERAPY FOR METASTATIC SQUAMOUS NON-SMALL CELL CARCINOMA OF THE LUNG,808737,604.82
"AbbVie, Inc.",2016-06-06,Cash or cash equivalent,M14-011,596090,10380.73
Abbott Laboratories,2016-06-07,Cash or cash equivalent,EVEREST II,217198,945
"AbbVie, Inc.",2016-06-08,Cash or cash equivalent,M14-011,596090,57226.39
"Zimmer Biomet Holdings, Inc.",2016-06-08,Cash or cash equivalent,MarrowStim PAD Kit Study,570554,325
Sorin Group USA Inc.,2016-06-09,Cash or cash equivalent,Perceval,213301,11650
"Alexion Pharmaceuticals, Inc.",2016-06-10,Cash or cash equivalent,Atypcial Hemolytic-Uremic Syndrome aHUS Registry,244226,375
Cook Research Incorporated,2016-06-10,Cash or cash equivalent,Zenith Branch Endovascular Graft-Iliac Bifurcation,294839,50
Cook Research Incorporated,2016-06-10,Cash or cash equivalent,Zenith Branch Endovascular Graft-Iliac Bifurcation,294839,600
"Pharmacyclics LLC, An AbbVie Company",2016-06-10,Cash or cash equivalent,PCYC-1112-CA,744701,1935.71
"Pharmacyclics LLC, An AbbVie Company",2016-06-10,Cash or cash equivalent,PCYC-1112-CA,744701,18997.5
Allergan Inc.,2016-06-13,In-kind items and services,"A PHASE 3, RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED, PARALLEL-GROUP, MULTICENTER, FIXED-DOSE CLINICAL TRIAL EVALUATING THE EFFICACY, SAFETY AND TOLERABILITY OF CARIPRAZINE IN PATIENTS WITH BIPOLAR I DEPRESSION",322890,250
Allergan Inc.,2016-06-13,In-kind items and services,"A PHASE 3, RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED, PARALLEL-GROUP, MULTICENTER, FIXED-DOSE CLINICAL TRIAL EVALUATING THE EFFICACY, SAFETY AND TOLERABILITY OF CARIPRAZINE IN PATIENTS WITH BIPOLAR I DEPRESSION",322890,125
Allergan Inc.,2016-06-13,In-kind items and services,"A PHASE 3, RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED, PARALLEL-GROUP, MULTICENTER, FIXED-DOSE CLINICAL TRIAL EVALUATING THE EFFICACY, SAFETY AND TOLERABILITY OF CARIPRAZINE IN PATIENTS WITH BIPOLAR I DEPRESSION",322890,47
Allergan Inc.,2016-06-13,In-kind items and services,"A PHASE 3, RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED, PARALLEL-GROUP, MULTICENTER, FIXED-DOSE CLINICAL TRIAL EVALUATING THE EFFICACY, SAFETY AND TOLERABILITY OF CARIPRAZINE IN PATIENTS WITH BIPOLAR I DEPRESSION",322890,125
Allergan Inc.,2016-06-13,In-kind items and services,"A PHASE 3, RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED, PARALLEL-GROUP, MULTICENTER, FIXED-DOSE CLINICAL TRIAL EVALUATING THE EFFICACY, SAFETY AND TOLERABILITY OF CARIPRAZINE IN PATIENTS WITH BIPOLAR I DEPRESSION",322890,36
Allergan Inc.,2016-06-13,In-kind items and services,"A PHASE 3, RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED, PARALLEL-GROUP, MULTICENTER, FIXED-DOSE CLINICAL TRIAL EVALUATING THE EFFICACY, SAFETY AND TOLERABILITY OF CARIPRAZINE IN PATIENTS WITH BIPOLAR I DEPRESSION",322890,5
"Genentech, Inc.",2016-06-14,Cash or cash equivalent,PRISMS,NA,250
Allergan Inc.,2016-06-15,In-kind items and services,"AN OPEN LABEL, LONG-TERM STUDY TO ASSESS THE IMMUNOGENICITY OF LINACLOTIDE ADMINISTERED ORALLY TO ADULT PATIENTS WITH IRRITABLE BOWEL SYNDROME WITH CONSTIPATION OR CHRONIC IDIOPATHIC CONSTIPATION",322890,105
Allergan Inc.,2016-06-15,In-kind items and services,"AN OPEN LABEL, LONG-TERM STUDY TO ASSESS THE IMMUNOGENICITY OF LINACLOTIDE ADMINISTERED ORALLY TO ADULT PATIENTS WITH IRRITABLE BOWEL SYNDROME WITH CONSTIPATION OR CHRONIC IDIOPATHIC CONSTIPATION",322890,30
"E.R. Squibb & Sons, L.L.C.",2016-06-15,Cash or cash equivalent,Evaluation of Acute Rejection Rates in de Novo Renal Transplant Recipients Following Thymoglobulin Induction CNI free Nulojix Belatacept Based Immunosuppression,696729,8e3
Pfizer Inc.,2016-06-15,Cash or cash equivalent,Safety and Efficacy of SA4Ag Vaccine in Adults Having Elective Open Posterior Spinal Fusion Procedures With Multilevel Instrumentation,31776,51088.89
SANOFI US SERVICES INC.,2016-06-15,Cash or cash equivalent,"A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Study to Evaluate the Effect of Alirocumab (SAR236553/REGN727) on the Occurrence of Cardiovascular Events in Patients Who Have Recently E",1043167,600
HOLOGIC INC,2016-06-16,Cash or cash equivalent,Evaluation of Mammography Compression,NA,42207.67
Purdue Pharma,2016-06-16,Cash or cash equivalent,063-013,NA,215051.25
Cook Research Incorporated,2016-06-17,Cash or cash equivalent,NA,NA,10974.77
Cook Research Incorporated,2016-06-17,Cash or cash equivalent,NA,NA,15619
"W. L. Gore & Associates, Inc.",2016-06-17,Cash or cash equivalent,GORE HELEX  Septal Occluder  GORE  Septal Occluder and Antiplatelet Medical Management for Reduction of Recurrent Stroke or Imaging Confirmed TIA in Patients with Patent Foramen Ovale PFO,220413,562.5
Boston Scientific Corporation,2016-06-20,Cash or cash equivalent,STRATEGIC ASSESSMENT OF RANDOMIZED DEFIBRILLATION THERAPY US,187930,2705
Boston Scientific Corporation,2016-06-20,Cash or cash equivalent,STRATEGIC ASSESSMENT OF RANDOMIZED DEFIBRILLATION THERAPY US,187930,1562.5
DePuy Orthopaedics Inc.,2016-06-20,Cash or cash equivalent,Multi-Center Prospective Evaluation of Operative vs Non-operative for ASD,147144,600
"E.R. Squibb & Sons, L.L.C.",2016-06-20,Cash or cash equivalent,Phase III GBM 2L registrational,528783,3850
Vertex Pharmaceuticals Incorporated,2016-06-20,Cash or cash equivalent,Rollover Study to Evaluate the Safety and Efficacy of Long-term Treatment With Lumacaftor in Combination With Ivacaftor,826949,38788.86
GENZYME CORPORATION,2016-06-21,Cash or cash equivalent,Q1 2016 Fabry LSD Registry,NA,650
GENZYME CORPORATION,2016-06-21,Cash or cash equivalent,Q1 2016 Gaucher LSD Registry,NA,600
"W. L. Gore & Associates, Inc.",2016-06-21,Cash or cash equivalent,GORE Septal Occluder Clinical Study A Study to evaluate safety and efficacy in the treatment of transcatheter closure of ostium secundum atrial septal defects ASDs,217198,6062.5
"Actelion Pharmaceuticals US, Inc.",2016-06-22,Cash or cash equivalent,QUERI ACHD - AC-052433 USA,475119,400
"Genentech, Inc.",2016-06-22,Cash or cash equivalent,AVENUE,250079,12369
"Millennium Pharmaceuticals, Inc.",2016-06-22,Cash or cash equivalent,"MLN8237 in Patients With Ovarian, Fallopian Tube or Peritoneal Cancer Preceded by Phase 1 Study of MLN8237 Plus Paclitaxel Treatment of Ovary or Breast Cancer",945020,11464
Celgene Corporation,2016-06-24,Cash or cash equivalent,ABI-007-PANC-003,266016,12021.04
Corindus Inc.,2016-06-24,Cash or cash equivalent,PRECISION Registry Protocol,601536,16250
"Genentech, Inc.",2016-06-24,Cash or cash equivalent,APDL1 BLADDER EAP,266016,3475
SANOFI US SERVICES INC.,2016-06-27,In-kind items and services,"A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Study to Evaluate the Effect of Alirocumab (SAR236553/REGN727) on the Occurrence of Cardiovascular Events in Patients Who Have Recently E",1043167,12.54
CorMatrix Cardiovascular Inc.,2016-06-29,Cash or cash equivalent,Perform,312047,6350
Edwards Lifesciences Corporation,2016-06-29,In-kind items and services,Compassion S3 2015-01,96907,6718.05
"NEUROPACE, INC.",2016-06-29,Cash or cash equivalent,RNS System Long-term Treatment Clinical Investigation,164924,462.5
"Penumbra, Inc.",2016-06-29,Cash or cash equivalent,A prospective multicenter registry assessing the embolization of neurovascular lesions using the  Penumbra SMART COIL System,329114,1e4
Pfizer Inc.,2016-06-29,Cash or cash equivalent,NA,NA,81658
CorMatrix Cardiovascular Inc.,2016-06-30,Cash or cash equivalent,Carotid Registry,188640,571.5
"Aesculap Biologics, LLC",2016-07-01,Cash or cash equivalent,NOVOCART 3D for the Treatment of Articular Cartiage of the Knee N3D,243965,46789
Allergan Inc.,2016-07-01,In-kind items and services,"AN OPEN LABEL, LONG-TERM STUDY TO ASSESS THE IMMUNOGENICITY OF LINACLOTIDE ADMINISTERED ORALLY TO ADULT PATIENTS WITH IRRITABLE BOWEL SYNDROME WITH CONSTIPATION OR CHRONIC IDIOPATHIC CONSTIPATION",322890,5
"AbbVie, Inc.",2016-07-06,Cash or cash equivalent,M14-360,1194702,3427.5
DePuy Orthopaedics Inc.,2016-07-12,Cash or cash equivalent,Radiographic and Clinical Evaluation of Surgical Treatment for Cervical Deformity.,147144,858.75
"Lutonix, Inc.",2016-07-12,Cash or cash equivalent,LTX AV,296287,3750
"W. L. Gore & Associates, Inc.",2016-07-12,Cash or cash equivalent,Gore Research and Development,NA,1500
BIOTRONIK INC.,2016-07-13,Cash or cash equivalent,BIOFLOW-V,601536,16053.22
F. Hoffmann-La Roche AG,2016-07-13,Cash or cash equivalent,GDC0199 FNHL PHASE II,631489,2525
F. Hoffmann-La Roche AG,2016-07-13,Cash or cash equivalent,GDC0199 FNHL PHASE II,631489,2496.9
F. Hoffmann-La Roche AG,2016-07-13,Cash or cash equivalent,GDC0199 FNHL PHASE II,631489,17012.43
Gilead Sciences Inc,2016-07-13,Cash or cash equivalent,"RESCUE: A Phase 3b, Multicenter, Open-Label Study to Investigate the Efficacy and Safety of Ledipasvir/Sofosbuvir, With or Without Ribavirin, in HCV Infected Subjects Who Have Failed Prior Treatment With Sofosbuvir-based Therapies",212626,575
"St. Jude Medical, Inc.",2016-07-13,Cash or cash equivalent,VPA,217198,875
"AbbVie, Inc.",2016-07-14,Cash or cash equivalent,M14-011,596090,10764.36
"Actelion Pharmaceuticals US, Inc.",2016-07-15,Cash or cash equivalent,OPUS - AC-055-503,199176,1200
AstraZeneca Pharmaceuticals LP,2016-07-18,Cash or cash equivalent,Randomized Placebo-controlled single Blind Trial to determine the Safety and Efficacy of Ticagrelor for Maintaining  Patency of Arterio-Venous Fistulae Created for Hemodialysis,368063,23800
Boston Scientific Corporation,2016-07-18,Cash or cash equivalent,CAP2 - PREVAIL CONTINUED ACCESS REGISTRY,217198,1375
Boston Scientific Corporation,2016-07-18,Cash or cash equivalent,CAP2 - PREVAIL CONTINUED ACCESS REGISTRY,217198,562.5
F. Hoffmann-La Roche AG,2016-07-18,Cash or cash equivalent,GDC0199 FNHL PHASE II,631489,26824.56
Pfizer Inc.,2016-07-18,Cash or cash equivalent,NA,257796,12500
Purdue Pharma,2016-07-19,Cash or cash equivalent,063-013,NA,472518.99
"W. L. Gore & Associates, Inc.",2016-07-19,Cash or cash equivalent,Gore Research and Development,NA,19487.5
"AbbVie, Inc.",2016-07-20,Cash or cash equivalent,M13-740,594186,7789.94
Allergan Inc.,2016-07-20,Cash or cash equivalent,"A MULTICENTER, DOUBLE BLIND, PLACEBO AND ACTIVE-CONTROLLED PARALLEL-GROUP EVALUATION OF THE SAFETY AND EFFICACY OF VILAZODONE IN PEDIATRIC PATIENTS WITH MAJOR DEPRESSIVE DISORDE",81927,7201
Allergan Inc.,2016-07-20,Cash or cash equivalent,AN OPEN-LABEL LONG-TERM SAFETY STUDY OF VILAZODONE IN PEDIATRIC PATIENTS WITH MAJOR DEPRESSIVE DISORDER,NA,3329.75
Allergan Inc.,2016-07-20,Cash or cash equivalent,AN OPEN-LABEL LONG-TERM SAFETY STUDY OF VILAZODONE IN PEDIATRIC PATIENTS WITH MAJOR DEPRESSIVE DISORDER,NA,3624.25
Edwards Lifesciences Corporation,2016-07-20,Cash or cash equivalent,The PARTNER II Trial Placement of Aortic Transcatheter Valve Trial 2010-12,123007,13700
F. Hoffmann-La Roche AG,2016-07-20,Cash or cash equivalent,GDC0199 FNHL PHASE II,631489,27467.86
"St. Jude Medical, Inc.",2016-07-20,Cash or cash equivalent,ADVANCE ASO,217198,14311.5
"Alexion Pharmaceuticals, Inc.",2016-07-21,Cash or cash equivalent,Atypcial Hemolytic-Uremic Syndrome aHUS Registry,244226,375
"Genentech, Inc.",2016-07-21,Cash or cash equivalent,A PHASE III TRIAL IN ADJUVANT HER2 BC PTS,760719,4542.34
"Pharmacyclics LLC, An AbbVie Company",2016-07-21,Cash or cash equivalent,PCYC-1112-CA,744701,701.57
Edwards Lifesciences Corporation,2016-07-22,Cash or cash equivalent,The PARTNER Trial Placement of Aortic Transcatheter Valve Trial 2006-06,217198,3800
Abbott Laboratories,2016-07-26,Cash or cash equivalent,COAPT,217198,11200
"AbbVie, Inc.",2016-07-26,Cash or cash equivalent,P12-792,826949,230.61
"Genentech, Inc.",2016-07-26,Cash or cash equivalent,APDL1 PHASE II IN PD L1 POSITIVE NSCLC PTS,808737,882.23
Incyte Corporation,2016-07-26,Cash or cash equivalent,"A Phase II Pilot Trial of an Indoleamine 2, 3, dioxygenase 1 IDO1 InhibitorINCB024360 Plus a Multipeptide Melanoma Vaccine MELITAC 12.1 in Patients with Advanced Melanoma",157351,1162.8
Allergan Inc.,2016-07-27,In-kind items and services,"A PHASE 3, RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED, PARALLEL-GROUP, MULTICENTER, FIXED-DOSE CLINICAL TRIAL EVALUATING THE EFFICACY, SAFETY AND TOLERABILITY OF CARIPRAZINE IN PATIENTS WITH BIPOLAR I DEPRESSION",322890,93.75
Allergan Inc.,2016-07-27,In-kind items and services,"A PHASE 3, RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED, PARALLEL-GROUP, MULTICENTER, FIXED-DOSE CLINICAL TRIAL EVALUATING THE EFFICACY, SAFETY AND TOLERABILITY OF CARIPRAZINE IN PATIENTS WITH BIPOLAR I DEPRESSION",322890,58.75
Allergan Inc.,2016-07-27,In-kind items and services,"A PHASE 3, RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED, PARALLEL-GROUP, MULTICENTER, FIXED-DOSE CLINICAL TRIAL EVALUATING THE EFFICACY, SAFETY AND TOLERABILITY OF CARIPRAZINE IN PATIENTS WITH BIPOLAR I DEPRESSION",322890,180
Allergan Inc.,2016-07-27,In-kind items and services,"A PHASE 3, RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED, PARALLEL-GROUP, MULTICENTER, FIXED-DOSE CLINICAL TRIAL EVALUATING THE EFFICACY, SAFETY AND TOLERABILITY OF CARIPRAZINE IN PATIENTS WITH BIPOLAR I DEPRESSION",322890,156.25
Allergan Inc.,2016-07-27,In-kind items and services,"A PHASE 3, RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED, PARALLEL-GROUP, MULTICENTER, FIXED-DOSE CLINICAL TRIAL EVALUATING THE EFFICACY, SAFETY AND TOLERABILITY OF CARIPRAZINE IN PATIENTS WITH BIPOLAR I DEPRESSION",322890,156.25
Eli Lilly and Company,2016-07-27,Cash or cash equivalent,A PHASE II STUDY OF THE COMBINATION OF LY3023414 AND NECITUMUMAB AFTER FIRST-LINE CHEMOTHERAPY FOR METASTATIC SQUAMOUS NON-SMALL CELL CARCINOMA OF THE LUNG,808737,9877
"Genentech, Inc.",2016-07-27,Cash or cash equivalent,AVENUE,250079,3e3
Gilead Sciences Inc,2016-07-27,Cash or cash equivalent,"RESCUE: A Phase 3b, Multicenter, Open-Label Study to Investigate the Efficacy and Safety of Ledipasvir/Sofosbuvir, With or Without Ribavirin, in HCV Infected Subjects Who Have Failed Prior Treatment With Sofosbuvir-based Therapies",212626,7663
SANOFI US SERVICES INC.,2016-07-27,Cash or cash equivalent,"A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Study to Evaluate the Effect of Alirocumab (SAR236553/REGN727) on the Occurrence of Cardiovascular Events in Patients Who Have Recently E",1043167,1700
Biocompatibles UK Ltd,2016-07-28,Cash or cash equivalent,QYF0001 TS 102 EPOCH,48856,1350
"AbbVie, Inc.",2016-08-01,Cash or cash equivalent,M13-740,594186,5600
F. Hoffmann-La Roche AG,2016-08-01,Cash or cash equivalent,GDC0199 FNHL PHASE II,631489,35938.16
Novo Nordisk Inc,2016-08-01,Cash or cash equivalent,HGH-2149 ANSWER Study,305055,600
"Roche Diagnostics Operations, Inc.",2016-08-01,In-kind items and services,RD002446,408254,2490.42
