id,Recency,Frequency,Monetary
1593,201,11,1101
1594,162,9,539
1595,104,14,1005
1596,174,8,722
1597,60,9,951
1598,17,16,1831
1599,228,13,1160
1600,71,18,1965
1601,415,5,486
1602,43,8,944
1603,103,9,783
1604,534,7,625
1605,89,15,1304
1606,48,11,1325
1607,161,9,628
1608,54,8,555
1609,239,9,748
1610,97,9,1013
1611,464,4,379
1612,130,11,702
1613,40,14,1292
1614,13,9,845
1615,304,8,963
1616,165,9,1015
1617,26,13,1576
1618,122,9,759
1619,252,10,949
1620,137,11,975
1621,228,10,985
1622,228,11,1062
1623,123,10,1262
1624,132,6,586
1625,75,6,570
1626,72,11,1240
1627,422,12,1078
1628,115,11,1354
1629,213,16,1680
1630,136,8,712
1631,196,7,505
1632,207,5,446
1633,208,9,617
1634,40,10,1058
1635,100,15,1871
1636,211,11,1084
1637,216,8,648
1638,222,11,1070
1639,254,7,862
1640,94,11,756
1641,261,8,521
1642,16,9,721
1643,130,10,797
1644,180,15,1358
1645,60,7,511
1646,467,11,1230
1647,184,8,742
1648,230,8,612
1649,156,12,1025
1650,62,15,1106
1651,127,14,998
1652,145,15,1654
1653,36,14,1494
1654,99,17,1565
1655,52,10,1056
1656,51,8,676
1657,26,6,921
1658,244,7,657
1659,110,14,913
1660,156,8,774
1661,184,17,1469
1662,445,10,946
1663,239,6,652
1664,101,8,903
1665,62,12,1536
1666,145,12,1155
1667,215,12,950
1668,246,11,804
1669,280,13,1474
1670,188,13,879
1671,149,16,1500
1672,141,9,929
1673,147,10,1156
1674,182,19,1831
1675,155,8,748
1676,209,9,1079
1677,377,9,540
1678,16,8,796
1679,126,8,791
1680,194,11,880
1681,345,6,354
1682,316,8,1006
1683,121,16,1409
1684,91,9,1077
1685,76,8,607
1686,99,11,1234
1687,168,7,677
1688,420,11,1196
1689,171,9,694
1690,108,8,878
1691,24,13,1105
1692,58,13,1567
1693,39,11,1068
1694,144,7,773
1695,245,14,1477
1696,179,12,942
1697,57,11,1285
1698,83,14,1132
1699,205,9,661
1700,523,11,987
1701,199,5,451
1702,99,8,632
1703,83,15,1261
1704,136,13,1385
1705,85,11,1241
1706,88,8,878
1707,48,16,1366
1708,114,9,714
1709,222,7,438
1710,158,9,622
1711,231,14,1524
1712,100,13,880
1713,100,9,1162
1714,437,12,1207
1715,248,9,719
1716,265,8,800
1717,142,11,733
1718,53,9,929
1719,148,14,1300
1720,53,17,1685
1721,73,9,789
1722,171,12,1128
1723,513,9,693
1724,222,13,1067
1725,202,13,1333
1726,181,14,1368
1727,89,7,541
1728,125,8,822
1729,91,12,1068
1730,55,14,1227
1731,131,16,1425
1732,148,9,897
1733,2,14,1416
1734,312,13,1387
1735,156,13,1036
1736,65,11,756
1737,71,5,620
1738,82,13,1226
1739,96,8,1038
1740,52,7,790
1741,144,9,886
1742,539,5,402
1743,171,14,1530
1744,179,13,1424
1745,100,9,986
1746,442,10,1131
1747,54,13,1204
1748,171,6,569
1749,75,11,1284
1750,464,7,977
1751,421,6,400
1752,98,12,1010
1753,56,12,1157
1754,155,11,1067
1755,45,12,853
1756,36,11,975
1757,500,6,572
1758,439,9,782
1759,14,7,622
1760,45,10,788
1761,52,8,644
1762,100,16,1546
1763,72,13,1032
1764,153,8,703
1765,194,5,782
1766,415,6,446
1767,48,17,1938
1768,87,10,895
1769,81,7,648
1770,116,7,918
1771,70,6,413
1772,424,10,863
1773,166,13,1551
1774,70,13,1427
1775,141,12,1125
1776,254,13,1230
1777,145,7,607
1778,319,15,1008
1779,465,8,578
1780,345,7,816
1781,16,5,550
1782,45,17,1428
1783,130,12,1206
1784,503,6,558
1785,58,13,1245
1786,148,10,763
1787,47,10,814
1788,123,13,1484
1789,434,7,888
1790,424,11,1121
1791,242,7,693
1792,541,6,412
1793,162,9,896
1794,175,8,903
1795,95,8,559
1796,545,4,449
1797,130,5,343
1798,210,17,1395
1799,465,8,521
1800,91,12,1132
1801,16,11,993
1802,77,6,551
1803,24,9,979
1804,35,10,784
1805,531,5,382
1806,212,5,374
1807,160,8,601
1808,381,10,1034
1809,104,9,736
1810,69,14,1459
1811,435,9,691
1812,398,4,374
1813,88,10,945
1814,34,13,1394
1815,204,9,923
1816,165,5,548
1817,611,4,493
1818,79,6,501
1819,33,15,1714
1820,542,8,777
1821,211,6,667
1822,256,10,1000
1823,115,11,1272
1824,211,6,478
1825,149,7,836
1826,211,14,1443
1827,171,12,1142
1828,154,12,1336
1829,155,15,1640
1830,88,5,307
1831,92,15,1018
1832,521,2,132
1833,87,10,875
1834,159,9,1079
1835,403,6,581
1836,118,14,1493
1837,30,7,813
1838,264,5,502
1839,182,12,956
1840,137,14,1735
1841,102,11,858
1842,137,9,666
1843,127,15,1575
1844,123,7,870
1845,316,9,819
1846,134,10,1108
1847,163,13,1270
1848,67,7,718
1849,342,13,864
1850,99,8,684
1851,214,2,93
1852,432,8,719
1853,100,14,1448
1854,115,9,1028
1855,276,11,1279
1856,186,12,1358
1857,220,11,688
1858,156,6,667
1859,33,8,1081
1860,106,12,1627
1861,80,6,597
1862,129,10,764
1863,212,10,686
1864,175,14,1269
1865,467,5,450
1866,136,6,656
1867,101,15,1421
1868,103,11,1365
1869,226,7,537
1870,120,14,1590
1871,382,10,1285
1872,148,9,771
1873,191,13,1380
1874,88,18,2162
1875,448,7,943
1876,231,6,575
1877,124,10,628
1878,161,11,1014
1879,113,14,1275
1880,96,11,1514
1881,54,10,1037
1882,414,11,1391
1883,157,11,1502
1884,63,11,1022
1885,226,8,773
1886,73,8,426
1887,152,8,806
1888,116,7,734
1889,298,6,624
1890,41,12,977
1891,125,12,1426
1892,101,9,888
1893,132,10,1111
1894,45,9,846
1895,213,11,882
1896,51,12,1249
1897,134,9,553
1898,152,9,907
1899,158,9,1254
1900,249,9,844
1901,181,6,604
1902,322,4,576
1903,167,6,413
1904,212,4,286
1905,276,15,1648
1906,141,11,982
1907,108,12,1496
1908,71,13,1126
1909,436,9,661
1910,58,7,622
1911,552,6,643
1912,53,14,1496
1913,144,9,988
1914,172,11,1037
1915,26,7,703
1916,378,8,903
1917,86,8,1075
1918,225,6,402
1919,154,10,857
1920,103,9,874
1921,260,12,1089
1922,77,10,871
1923,341,11,1134
1924,147,9,835
1925,208,8,478
1926,182,10,966
1927,214,11,1261
1928,257,13,1212
1929,437,11,1018
1930,184,9,857
1931,40,15,1286
1932,155,8,1031
1933,29,14,1182
1934,163,10,796
1935,196,9,944
1936,123,13,1546
1937,137,14,1375
1938,166,7,543
1939,164,11,876
1940,103,9,1038
1941,326,13,1560
1942,103,12,1394
1943,13,11,838
1944,141,8,521
1945,144,10,820
1946,407,4,330
1947,96,8,714
1948,55,16,1506
1949,150,6,509
1950,181,13,1182
1951,88,4,349
1952,6,5,390
1953,195,10,1381
1954,58,12,1302
1955,196,12,1087
1956,228,8,452
1957,79,8,657
1958,364,12,1251
1959,87,11,1121
1960,8,11,1116
1961,157,10,1126
1962,135,10,864
1963,553,3,410
1964,352,8,903
1965,130,10,567
1966,256,8,529
1967,167,8,596
1968,121,12,1433
1969,256,7,558
1970,239,9,718
1971,14,9,935
1972,116,8,677
1973,71,8,642
1974,120,12,1149
1975,136,3,230
1976,64,8,651
1977,134,6,733
1978,84,18,1795
1979,473,12,1197
1980,223,8,670
1981,928,3,378
1982,163,6,362
1983,128,11,1307
1984,70,11,1081
1985,160,11,1012
1986,143,13,922
1987,15,6,666
1988,426,10,782
1989,170,14,1129
1990,152,10,1155
1991,191,5,646
1992,160,16,1432
1993,314,8,624
1994,56,9,972
1995,158,6,759
1996,394,5,448
1997,61,11,737
1998,143,9,1159
1999,34,9,875
2000,128,11,950
2001,128,5,383
2002,103,11,1262
2003,147,8,810
2004,150,12,1128
2005,84,8,1107
2006,146,13,1601
2007,199,11,1191
2008,105,9,943
2009,166,7,682
2010,99,15,1633
2011,208,8,869
2012,77,11,776
2013,196,6,396
2014,511,4,311
2015,76,10,779
2016,244,10,836
2017,135,9,589
2018,276,10,1073
2019,162,13,1189
2020,193,14,1423
2021,30,13,852
2022,175,9,618
2023,146,7,658
2024,80,15,1798
2025,64,9,917
2026,32,13,1504
2027,191,7,682
2028,176,11,1139
2029,415,11,1187
2030,172,16,1902
2031,80,14,1214
2032,159,12,1207
2033,186,9,635
2034,156,9,635
2035,132,11,904
2036,173,10,1438
2037,147,8,354
2038,114,17,1439
2039,150,10,933
2040,10,12,1282
2041,199,3,213
2042,235,6,795
2043,109,7,711
2044,397,12,1107
2045,15,7,951
2046,74,14,1478
2047,134,9,856
2048,217,11,1489
2049,74,10,898
2050,181,2,159
2051,107,11,808
2052,175,9,1123
2053,124,11,1288
2054,151,7,832
2055,182,13,1356
2056,158,7,554
2057,354,11,1276
2058,149,13,1121
2059,155,6,564
2060,128,10,943
2061,268,5,588
2062,55,11,1383
2063,136,11,1094
2064,43,12,1020
2065,129,10,668
2066,162,10,1029
2067,19,10,940
2068,92,12,1365
2069,385,12,800
2070,171,14,1140
2071,282,8,620
2072,59,12,1118
2073,575,4,315
2074,517,6,647
2075,128,14,1458
2076,79,6,735
2077,32,10,858
2078,199,10,890
2079,37,14,919
2080,99,13,1602
2081,219,5,575
2082,268,10,729
2083,486,6,538
2084,101,6,749
2085,176,8,782
2086,26,5,319
2087,178,8,1023
2088,47,6,649
2089,30,15,1185
2090,357,7,432
2091,395,7,792
2092,432,7,711
2093,200,13,982
2094,188,8,845
2095,75,8,668
2096,425,8,615
2097,167,10,931
2098,209,16,1158
2099,353,10,801
2100,49,11,1388
2101,123,9,964
2102,81,9,625
2103,31,14,1577
2104,127,5,522
2105,162,14,1444
2106,130,12,1035
2107,107,6,326
2108,133,8,678
2109,313,5,403
2110,14,13,1124
2111,81,10,991
2112,84,7,916
2113,94,12,1142
2114,302,9,1043
2115,189,10,851
2116,131,10,785
2117,473,6,479
2118,4,9,636
2119,172,4,217
2120,434,7,739
2121,151,17,1241
2122,164,9,868
2123,152,13,1546
2124,53,14,1333
2125,192,8,751
2126,494,6,635
2127,497,8,650
2128,378,6,468
2129,73,17,1587
2130,243,13,1343
2131,98,8,569
2132,452,9,1015
2133,155,11,1206
2134,115,18,1603
2135,77,9,821
2136,161,5,392
2137,179,4,353
2138,447,10,1131
2139,26,14,892
2140,57,12,917
2141,188,10,878
2142,89,8,590
2143,167,5,465
2144,124,11,1068
2145,152,12,1041
2146,465,7,542
2147,247,7,558
2148,457,8,1016
2149,17,12,1079
2150,137,11,1290
2151,161,11,797
2152,182,4,348
2153,21,7,358
2154,166,7,355
2155,259,10,1045
2156,27,11,935
2157,157,7,611
2158,163,9,821
2159,31,10,998
2160,124,11,732
2161,134,10,925
2162,412,12,852
2163,56,8,505
2164,141,7,674
2165,182,13,1110
2166,70,6,871
2167,168,10,801
2168,41,10,1077
2169,365,9,807
2170,166,9,696
2171,66,9,698
2172,427,6,622
2173,53,13,1024
2174,222,8,863
2175,134,12,1290
2176,158,11,1145
2177,149,15,1725
2178,230,9,968
2179,175,15,1467
2180,53,11,1210
2181,125,9,910
2182,224,13,1509
2183,164,9,1047
2184,252,6,339
2185,107,5,675
2186,194,14,1510
2187,179,9,1042
2188,427,10,791
2189,438,4,354
2190,436,8,626
2191,200,12,1332
2192,80,9,1274
2193,463,6,393
2194,7,8,745
2195,59,11,1301
2196,30,16,1221
2197,224,10,631
2198,124,15,1461
2199,36,15,991
2200,102,6,669
2201,5,11,1118
2202,490,4,381
2203,60,12,1314
2204,59,5,427
2205,193,8,767
2206,96,12,1363
2207,109,6,510
2208,2,8,434
2209,201,9,1133
2210,85,4,169
2211,64,15,1277
2212,380,12,842
2213,187,6,467
2214,93,9,1020
2215,428,8,1039
2216,62,9,787
2217,42,10,878
2218,485,11,904
2219,184,11,933
2220,124,13,1266
2221,52,13,1118
2222,132,10,1046
2223,50,5,273
2224,380,13,1069
2225,104,8,750
2226,45,6,827
2227,477,10,735
2228,149,9,483
2229,249,6,433
2230,79,16,1407
2231,62,12,1233
2232,58,11,537
2233,462,9,936
2234,524,9,593
2235,205,7,549
2236,88,6,629
2237,64,11,748
2238,98,10,958
2239,187,8,879
2240,356,18,1934
2241,394,11,1119
2242,68,12,791
2243,46,9,887
2244,134,14,1325
2245,58,10,919
2246,143,6,597
2247,74,7,665
2248,334,13,1011
2249,147,11,1180
2250,397,7,520
2251,169,13,1532
2252,149,8,664
2253,76,19,1640
2254,424,12,1090
2255,198,8,577
2256,501,9,889
2257,161,7,417
2258,522,12,1184
2259,186,11,1219
2260,208,5,526
2261,209,10,1197
2262,141,12,1020
2263,194,10,695
2264,151,7,811
2265,89,12,1228
2266,52,13,777
2267,71,14,1113
2268,78,11,1354
2269,33,9,835
2270,171,9,672
2271,87,11,879
2272,104,13,945
2273,35,9,1055
2274,121,9,956
2275,288,13,1012
2276,75,15,1072
2277,83,9,821
2278,207,12,1045
2279,143,14,1272
2280,102,11,765
2281,109,8,760
2282,158,12,1037
2283,466,7,853
2284,260,7,525
2285,168,6,728
2286,511,3,353
2287,12,13,1484
2288,340,7,665
2289,214,8,861
2290,148,5,602
2291,108,8,628
2292,146,9,1194
2293,240,5,659
2294,58,8,632
2295,60,11,901
2296,426,9,831
2297,346,6,597
2298,182,12,1260
2299,46,11,853
2300,321,14,1395
2301,97,11,1008
2302,2,11,1078
2303,142,8,710
2304,39,9,1023
2305,84,12,1103
2306,64,7,570
2307,139,11,857
2308,210,4,284
2309,224,12,1144
2310,420,8,746
2311,131,10,1123
2312,424,10,1105
2313,74,11,916
2314,146,11,1120
2315,428,6,790
2316,100,8,722
2317,91,8,758
2318,462,5,471
2319,332,4,396
2320,18,9,834
2321,319,5,347
2322,63,14,1059
2323,172,13,1523
2324,26,13,1129
2325,183,17,1631
2326,411,8,814
2327,194,10,1196
2328,121,13,1073
2329,141,13,912
2330,259,5,576
2331,178,15,1345
2332,209,8,643
2333,481,7,371
2334,124,14,1347
2335,429,12,1150
2336,238,13,1134
2337,228,5,369
2338,52,7,539
2339,72,8,735
2340,162,12,1181
2341,152,11,1133
2342,12,7,627
2343,2,11,999
2344,103,5,499
2345,101,6,345
2346,75,8,643
2347,45,8,1094
2348,192,7,749
2349,99,9,1058
2350,375,10,1082
2351,76,11,1340
2352,297,12,1073
2353,73,8,758
2354,59,7,638
2355,238,12,1164
2356,246,8,1015
2357,98,10,782
2358,445,6,504
2359,319,11,1129
2360,423,8,936
2361,90,13,1257
2362,326,7,460
2363,402,10,1362
2364,321,7,935
2365,303,9,596
2366,376,10,892
2367,354,4,246
2368,88,12,902
2369,39,8,744
2370,266,9,1177
2371,179,12,1527
2372,440,8,655
2373,52,11,1302
2374,76,10,1192
2375,143,10,990
2376,454,4,575
2377,417,9,981
2378,131,8,326
2379,37,14,1268
2380,199,5,434
2381,103,10,630
2382,212,11,1119
2383,283,11,899
2384,156,11,967
2385,12,11,1146
2386,137,8,984
2387,150,13,1323
2388,128,8,898
2389,9,12,741
2390,112,14,1386
2391,155,14,1630
2392,141,11,1077
2393,255,5,482
2394,195,7,796
2395,23,7,712
2396,333,7,862
2397,143,11,1083
2398,154,8,716
2399,73,11,793
2400,134,14,1079
2401,165,10,937
2402,96,9,1031
2403,68,15,1426
2404,153,12,1242
2405,175,10,551
2406,166,6,617
2407,180,3,144
2408,172,5,463
2409,17,10,788
2410,94,6,484
2411,163,11,1190
2412,198,15,1334
2413,238,8,488
2414,49,8,865
2415,334,11,1131
2416,118,7,633
2417,309,7,731
2418,65,9,670
2419,254,10,1116
2420,107,11,1198
2421,162,8,660
2422,315,7,534
2423,172,13,1418
2424,159,10,1083
2425,213,6,510
2426,339,11,1086
2427,59,14,1103
2428,473,9,605
2429,2,11,1505
2430,213,13,1198
2431,392,7,632
2432,367,8,983
2433,125,9,1288
2434,53,11,837
2435,22,8,1027
2436,100,11,1196
2437,120,12,1409
2438,103,8,650
2439,233,10,1177
2440,174,11,1133
2441,49,9,919
2442,51,12,1003
2443,39,9,1093
2444,143,11,1028
2445,171,8,745
2446,54,8,907
2447,181,11,1406
2448,210,3,228
2449,125,9,950
2450,404,5,520
2451,166,13,772
2452,84,7,678
2453,178,9,953
2454,92,13,1193
2455,239,12,780
2456,147,7,559
2457,326,11,1185
2458,508,4,475
2459,85,13,1442
2460,55,10,814
2461,18,13,1061
2462,73,10,958
2463,88,7,804
2464,88,6,685
2465,80,13,1717
2466,239,4,402
2467,294,12,1346
2468,66,8,481
2469,169,7,481
2470,117,11,1185
2471,149,7,543
2472,122,11,875
2473,500,10,863
2474,227,10,873
2475,577,4,635
2476,139,8,544
2477,170,7,261
2478,70,6,794
2479,109,13,908
2480,127,8,637
2481,506,9,1053
2482,109,10,829
2483,72,5,357
2484,228,18,1826
2485,458,10,1030
2486,163,9,516
2487,26,12,1058
2488,83,11,1083
2489,217,11,1060
2490,81,10,1199
2491,71,9,776
2492,157,14,1092
2493,44,9,656
2494,445,10,1008
2495,157,11,1234
2496,11,17,1554
2497,3,11,909
2498,322,10,979
2499,88,10,729
2500,54,10,840
2501,192,3,258
2502,370,10,842
2503,71,7,638
2504,12,9,685
2505,350,10,932
2506,8,5,450
2507,184,7,807
2508,74,8,620
2509,175,11,1154
2510,32,13,1369
2511,17,13,1412
2512,321,9,433
2513,154,7,607
2514,178,7,507
2515,27,10,968
2516,126,16,1561
2517,27,12,965
2518,137,8,941
2519,92,17,1493
2520,438,5,528
2521,151,11,1074
2522,190,9,573
2523,163,4,480
2524,317,9,606
2525,259,11,783
2526,122,9,782
2527,103,6,349
2528,235,9,1089
2529,451,7,743
2530,90,16,1519
2531,47,9,789
2532,154,8,918
2533,86,11,1049
2534,137,6,770
2535,860,2,264
2536,39,17,1724
2537,181,7,625
2538,41,11,1161
2539,147,9,1136
2540,314,7,956
2541,224,13,1127
2542,54,12,892
2543,164,8,789
2544,146,12,908
2545,209,15,1637
2546,54,9,849
2547,187,2,281
2548,41,16,1719
2549,394,6,559
2550,78,13,1070
2551,211,8,909
2552,332,11,636
2553,149,8,615
2554,200,10,1038
2555,73,9,859
2556,204,11,1486
2557,365,7,601
2558,66,6,405
2559,20,11,1220
2560,47,5,495
2561,387,6,635
2562,412,8,783
2563,55,5,625
2564,76,15,1307
2565,434,10,1073
2566,90,7,579
2567,111,6,282
2568,324,10,876
2569,102,7,528
2570,225,3,334
2571,155,10,812
2572,220,7,499
2573,469,9,832
2574,265,9,901
2575,210,7,824
2576,110,18,2110
2577,117,4,532
2578,195,7,735
2579,85,8,716
2580,108,12,927
2581,138,8,555
2582,385,8,421
2583,82,8,940
2584,426,6,465
2585,88,11,762
2586,108,13,1494
2587,565,4,446
2588,83,7,593
2589,351,10,668
2590,189,12,893
2591,77,11,894
2592,145,8,411
2593,460,7,372
2594,421,5,443
2595,137,10,1064
2596,28,12,1221
2597,238,10,1257
2598,237,13,1420
2599,99,12,1255
2600,133,10,1215
2601,142,10,908
2602,69,9,906
2603,229,6,758
2604,178,12,1158
2605,514,9,699
2606,160,9,782
2607,219,7,706
2608,97,14,1127
2609,121,5,256
2610,315,4,329
2611,223,10,933
2612,145,12,1285
2613,241,8,861
2614,37,10,1191
2615,133,11,561
2616,82,8,576
2617,137,8,843
2618,210,5,502
2619,99,10,1107
2620,166,9,1048
2621,225,7,876
2622,87,9,1241
2623,120,15,1764
2624,149,11,950
2625,146,4,425
2626,414,4,278
2627,114,10,970
2628,394,7,674
2629,304,8,691
2630,32,10,1009
2631,290,5,280
2632,209,9,441
2633,151,13,1222
2634,19,12,1202
2635,159,9,1050
2636,120,13,1428
2637,182,11,1072
2638,52,16,1510
2639,101,8,821
2640,280,7,615
2641,85,6,657
2642,104,11,1227
2643,585,4,403
2644,53,13,1014
2645,264,8,434
2646,150,10,1232
2647,83,10,1112
2648,168,10,661
2649,228,18,1809
2650,200,14,1615
2651,178,10,994
2652,22,10,763
2653,289,8,1011
2654,100,7,722
2655,161,9,1083
2656,134,11,1395
2657,266,9,726
2658,491,10,1111
2659,147,8,704
2660,71,11,1037
2661,299,12,882
2662,32,14,1002
2663,421,12,1160
2664,97,14,1144
2665,31,11,791
2666,144,10,1101
2667,18,8,983
2668,179,14,1122
2669,448,8,718
2670,52,9,914
2671,392,9,590
2672,379,11,1073
2673,152,9,850
2674,219,9,820
2675,44,9,798
2676,344,11,994
2677,498,9,813
2678,105,14,1363
2679,227,16,1500
2680,90,7,591
2681,302,11,986
2682,35,7,546
2683,239,9,795
2684,29,6,590
2685,329,8,457
2686,14,10,912
2687,31,10,1063
2688,76,13,961
2689,101,11,1359
2690,251,17,1990
2691,243,4,248
2692,89,6,596
2693,185,16,1458
2694,210,10,972
2695,138,9,723
2696,31,12,1277
2697,455,13,1395
2698,477,4,573
2699,125,8,803
2700,109,10,900
2701,80,14,1580
2702,83,10,964
2703,489,7,472
2704,535,7,489
2705,423,7,671
2706,166,4,227
2707,156,15,1092
2708,224,9,790
2709,114,12,956
2710,194,9,1060
2711,98,12,1143
2712,156,7,435
2713,433,7,451
2714,306,12,1223
2715,106,13,1265
2716,121,10,951
2717,168,9,887
2718,309,7,590
2719,162,8,619
2720,137,11,1144
2721,183,8,819
2722,377,6,402
2723,165,10,965
2724,84,10,853
2725,216,9,1169
2726,194,10,659
2727,14,14,1158
2728,865,2,175
2729,342,7,742
2730,111,9,1160
2731,39,12,880
2732,92,11,1113
2733,95,10,1071
2734,205,6,624
2735,106,14,1392
2736,193,12,937
2737,176,10,861
2738,436,9,809
2739,164,14,1402
2740,96,9,865
2741,263,9,868
2742,51,9,732
2743,220,6,685
2744,131,13,1008
2745,543,7,515
2746,530,10,848
2747,125,9,812
2748,282,4,269
2749,304,8,836
2750,165,11,641
2751,134,8,846
2752,119,16,1733
2753,292,8,904
2754,93,12,991
2755,202,10,1072
2756,163,5,557
2757,19,9,519
2758,309,8,591
2759,127,16,1615
2760,92,15,1165
2761,210,9,1066
2762,83,12,1099
2763,138,12,1086
2764,14,17,1480
2765,333,13,1105
2766,35,7,502
2767,247,11,769
2768,21,10,906
2769,9,14,1088
2770,161,13,1363
2771,59,7,603
2772,129,6,686
2773,9,11,1147
2774,312,10,661
2775,213,10,936
2776,142,6,706
2777,154,7,610
2778,23,18,1623
2779,188,11,957
2780,159,13,942
2781,56,11,1034
2782,131,7,582
2783,322,9,894
2784,102,9,1318
2785,112,9,875
2786,88,13,1274
2787,96,9,684
2788,331,5,605
2789,75,13,1383
2790,87,7,568
2791,173,11,1164
2792,230,12,1198
2793,111,11,842
2794,453,10,759
2795,385,8,778
2796,57,7,486
2797,133,11,857
2798,143,11,869
2799,107,4,610
2800,165,9,1036
2801,33,15,1553
2802,65,10,870
2803,70,8,637
2804,104,7,699
2805,68,9,495
2806,75,11,1077
2807,127,10,1004
2808,312,8,931
2809,86,11,1103
2810,51,10,788
2811,363,4,431
2812,199,15,1398
2813,143,12,1219
2814,153,11,1022
2815,362,11,1121
2816,82,8,905
2817,133,12,1355
2818,53,14,1649
2819,269,10,1107
2820,36,3,480
2821,453,8,665
2822,266,6,817
2823,108,8,682
2824,444,8,609
2825,97,7,715
2826,569,6,489
2827,264,10,808
2828,135,12,1108
2829,364,11,1254
2830,109,10,875
2831,133,10,1135
2832,19,14,1655
2833,177,6,704
2834,250,11,1046
2835,283,8,849
2836,42,13,1039
2837,96,13,1260
2838,421,12,1074
2839,102,12,1182
2840,50,10,888
2841,218,10,996
2842,87,13,912
2843,126,13,1044
2844,128,18,1692
2845,242,16,1642
2846,195,14,1315
2847,39,9,1096
2848,128,15,1321
2849,99,11,998
2850,600,4,355
2851,121,14,1327
2852,7,11,980
2853,94,14,1735
2854,178,12,1362
2855,129,11,726
2856,229,7,751
2857,257,7,687
2858,245,11,849
2859,271,9,854
2860,126,12,1298
2861,198,10,899
2862,84,12,938
2863,127,8,670
2864,123,11,851
2865,146,8,953
2866,79,5,273
2867,37,12,1151
2868,305,14,1290
2869,85,13,1229
2870,156,9,541
2871,260,8,578
2872,88,14,1281
2873,159,12,1002
2874,567,2,190
2875,380,6,416
2876,94,10,1076
2877,36,8,421
2878,9,11,965
2879,463,6,831
2880,156,5,863
2881,435,7,561
2882,152,8,503
2883,283,15,1559
2884,64,9,1127
2885,136,9,902
2886,51,9,487
2887,41,8,666
2888,219,8,919
2889,130,9,881
2890,32,9,824
2891,28,13,1122
2892,230,13,927
2893,161,7,740
2894,13,9,852
2895,103,11,1065
2896,140,9,964
2897,188,4,357
2898,138,7,1058
2899,182,12,1108
2900,70,8,1001
2901,109,16,1437
2902,211,12,1121
2903,129,11,981
2904,429,8,718
2905,23,12,1229
2906,129,8,753
2907,56,12,1121
2908,195,14,1456
2909,96,10,937
2910,220,10,902
2911,207,9,1073
2912,85,9,568
2913,99,8,826
2914,109,8,488
2915,528,12,750
2916,354,8,1125
2917,415,10,1336
2918,92,11,1026
2919,423,6,571
2920,49,15,1257
2921,225,12,1078
2922,130,8,625
2923,45,7,629
2924,401,13,1364
2925,73,8,690
2926,85,10,642
2927,441,4,481
2928,81,8,930
2929,379,8,925
2930,171,11,987
2931,385,11,1184
2932,387,5,515
2933,28,8,819
2934,132,12,1184
2935,225,6,411
2936,205,15,1422
2937,201,5,553
2938,85,13,1285
2939,538,6,666
2940,162,13,1244
2941,117,7,619
2942,85,11,759
2943,210,9,703
2944,47,18,2303
2945,61,13,1064
2946,156,13,1376
2947,125,7,895
2948,148,3,118
2949,122,6,560
2950,93,11,1381
2951,333,10,1152
2952,81,15,1589
2953,55,13,1243
2954,191,9,725
2955,250,10,1328
2956,110,4,439
2957,122,11,1038
2958,160,10,862
2959,402,16,2027
2960,172,10,1175
2961,90,11,1039
2962,541,7,960
2963,132,7,509
2964,14,8,921
2965,236,12,1097
2966,304,7,665
2967,68,8,750
2968,47,11,1017
2969,38,13,1069
2970,207,7,757
2971,236,9,584
2972,163,7,569
2973,62,15,1474
2974,389,9,998
2975,151,12,1091
2976,149,11,1070
2977,234,7,300
2978,305,3,184
2979,11,6,735
2980,73,11,893
2981,267,13,1187
2982,450,11,802
2983,417,9,797
2984,184,13,1409
2985,208,15,1112
2986,56,10,541
2987,56,12,878
2988,140,17,1718
2989,8,14,1693
2990,203,9,717
2991,405,11,892
2992,430,4,493
2993,336,6,704
2994,88,12,1545
2995,415,9,723
2996,134,8,645
2997,87,9,897
2998,138,19,2014
2999,22,12,1033
3000,97,6,611
3001,304,10,1105
3002,28,11,1104
3003,83,10,961
3004,286,9,1012
3005,471,7,930
3006,49,11,862
3007,96,16,1300
3008,59,12,1021
3009,87,10,918
3010,255,13,1207
3011,187,12,1285
3012,135,10,1034
3013,138,18,1418
3014,313,12,1147
3015,107,8,603
3016,424,8,1135
3017,381,7,577
3018,437,10,830
3019,93,10,900
3020,216,7,610
3021,339,14,1442
3022,555,7,995
3023,90,14,1427
3024,156,11,1008
3025,134,10,677
3026,245,7,465
3027,536,6,597
3028,79,13,1443
3029,119,6,535
3030,209,9,977
3031,161,13,1429
3032,378,9,934
3033,34,11,733
3034,112,19,1963
3035,252,9,988
3036,259,12,861
3037,51,12,850
3038,162,5,493
3039,196,8,824
3040,70,10,484
3041,132,8,651
3042,89,18,1456
3043,115,9,960
3044,190,7,497
3045,130,8,865
3046,117,11,1209
3047,346,6,667
3048,214,11,877
3049,132,7,585
3050,501,10,1108
3051,129,8,498
3052,143,9,952
3053,147,12,1150
3054,106,15,1511
3055,561,5,420
3056,105,13,1449
3057,151,16,1416
3058,388,10,1013
3059,212,13,1141
3060,33,6,616
3061,129,9,919
3062,159,8,594
3063,21,12,978
3064,123,8,985
3065,80,9,768
3066,214,5,439
3067,127,5,291
3068,85,13,1244
3069,83,12,1045
3070,53,9,1088
3071,142,5,449
3072,78,7,659
3073,595,7,895
3074,98,11,1121
3075,213,14,1572
3076,304,10,989
3077,163,14,1558
3078,190,15,1200
3079,145,7,698
