hero,comic
CAPTAIN AMERICA,A 94
ANELLE,A 97
VISION,A 97
ANNIHILUS,A 97
THOR,A 97
FIN,A 97
"FURY, COL. NICHOLAS",A 97
IRON MAN,A 97
"JONES, RICHARD MILHO",A 97
CAPTAIN AMERICA,A 97
HAWK,A 97
SCARLET WITCH,A 97
QUICKSILVER,A 97
RONAN THE ACCUSER [K,A 97
DORREK [SKRULL],A 97
BLAZING SKULL,A 97
CAPTAIN MARVEL,A 97
NOVA II,FF 257
HUMAN TORCH,FF 257
THING,FF 257
SCARLET WITCH,FF 257
"RICHARDS, FRANKLIN B",FF 257
DEATH,FF 257
VISION,FF 257
MR. FANTASTIC,FF 257
"GRIMM, JAKE",FF 257
INVISIBLE WOMAN,FF 257
GALACTUS,FF 257
ANELLE,FF 257
DAREDEVIL,DD 100
ANGAR THE SCREAMER,DD 100
"CARSON, LT. PAUL",DD 100
ANGAR THE SCREAMER,DD 101
DAREDEVIL,DD 101
BLACK WIDOW,DD 101
"CARSON, LT. PAUL",DD 101
"SLOAN, JASON",DD 101
"PETROVITCH, IVAN",DD 101
TERRAX,DD 105
STARFOX,DD 105
BLACK WIDOW,DD 105
MOONDRAGON,DD 105
KRAVEN THE HUNTER,DD 105
ANGAR THE SCREAMER,DD 105
"CARSON, LT. PAUL",DD 105
RAMROD II,DD 105
MENTOR,DD 105
THANOS,DD 105
DAREDEVIL,DD 105
ANGAR THE SCREAMER,DD 106
DAREDEVIL,DD 106
MOONDRAGON,DD 106
BLACK WIDOW,DD 106
"SLOAN, JASON",DD 106
TERRAX,DD 106
"O'HARA, ROBERT IRONG",DD 106
"CARSON, LT. PAUL",DD 106
RAMROD II,DD 106
"O'HARA, ROBERT IRONG",DD 107
CAPTAIN MARVEL,DD 107
RAMROD II,DD 107
"CARSON, LT. PAUL",DD 107
ANGAR THE SCREAMER,DD 107
"SLOAN, JASON",DD 107
DAREDEVIL,DD 107
MOONDRAGON,DD 107
BLACK WIDOW,DD 107
TERRAX,DD 107
"JONES, RICHARD MILHO",DD 107
ANGAR THE SCREAMER,M/PRM 25
"WING, PROFESSOR",M/PRM 25
"SCARFE, RAFAEL",M/PRM 25
IRON FIST,M/PRM 25
"WING, COLLEEN",IF 1
ANGAR THE SCREAMER,IF 1
IRON MAN,IF 1
"KNIGHT, MISTY",IF 1
"SCARFE, RAFAEL",IF 1
IRON FIST,IF 1
IRON FIST,IF 5
SCIMITAR,IF 5
CHAKA KHAN,IF 5
MASTER KHAN,IF 5
ANGAR THE SCREAMER,IF 5
"WING, COLLEEN",IF 5
"KNIGHT, MISTY",IF 6
IRON FIST,IF 6
AUGUST PERSONAGE IN,IF 6
CHAKA KHAN,IF 6
"LEI KUNG, THE THUNDE",IF 6
MASTER KHAN,IF 6
"WING, COLLEEN",IF 6
ANGAR THE SCREAMER,IF 6
JILL,IF 6
ANGAR THE SCREAMER,IF 7
"KNIGHT, MISTY",IF 7
"WING, COLLEEN",IF 7
CHAKA KHAN,IF 7
IRON FIST,IF 7
AUGUST PERSONAGE IN,IF 7
"CAGE, LUKE",DEF 43
NIGHTHAWK II,DEF 43
RED GUARDIAN III,DEF 43
ANGAR THE SCREAMER,DEF 43
HULK,DEF 43
RHINO,DEF 43
"NORRISS, SISTER BARB",DEF 43
CLEA,DEF 43
COBALT MAN,DEF 43
EGGHEAD,DEF 43
DR. STRANGE,DEF 43
ANGAR THE SCREAMER,S-W 34
ANVIL,S-W 34
SPIDER-WOMAN,S-W 34
HAMMER,S-W 34
"MCDOWELL, SCOTTY",S-W 34
"MCCABE, LINDSAY",S-W 34
"MCDOWELL, SCOTTY",S-W 35
"MCCABE, LINDSAY",S-W 35
ANGAR THE SCREAMER,S-W 35
SPIDER-WOMAN,S-W 35
DADDY LONGLEGS,S-W 50
NEKRA,S-W 50
WEREWOLF BY NIGHT,S-W 50
TICKTOCK,S-W 50
GYPSY MOTH,S-W 50
"MCCABE, LINDSAY",S-W 50
"LE FEY, MORGAN",S-W 50
MAGNUS,S-W 50
TIGRA,S-W 50
POLTERGEIST,S-W 50
HANGMAN,S-W 50
"ISHIMA, DAVID",S-W 50
ANGAR THE SCREAMER,S-W 50
DANSEN MACABRE,S-W 50
SHROUD,S-W 50
SPIDER-WOMAN,S-W 50
FLYING TIGER,S-W 50
ENFORCER,S-W 50
ARMADILLO,ASPOT 26
TITANIA II,ASPOT 26
HYDROMAN,ASPOT 26
MISTER HYDE,ASPOT 26
ANGAR THE SCREAMER,ASPOT 26
SCARECROW,ASPOT 26
"CARTER, PEGGY",ASPOT 26
KLAW,ASPOT 26
WIZARD,ASPOT 26
GRIFFIN II,ASPOT 26
ELECTRO,ASPOT 26
LOKI [ASGARDIAN],ASPOT 26
ANGAR THE SCREAMER,ASPOT 28
HAWK,ASPOT 28
LEVIATHAN II,ASPOT 28
MOCKINGBIRD,ASPOT 28
SCREAMING MIMI,ASPOT 28
STILT-MAN,M/CP 97/4
BATROC,M/CP 97/4
IMPOSSIBLE MAN,M/CP 97/4
COBRA,M/CP 97/4
"NAGAN, DR. ARTHUR",M/CP 97/4
SHOCKER,M/CP 97/4
ELECTRO,M/CP 97/4
TRAPSTER,M/CP 97/4
ROCKET RACER,M/CP 97/4
WHIPLASH,M/CP 97/4
PRINCESS PYTHON,M/CP 97/4
"MORGAN, JERROLD JERR",M/CP 97/4
WHIRLWIND,M/CP 97/4
HYDROMAN,M/CP 97/4
RUBY,M/CP 97/4
RINGMASTER,M/CP 97/4
ANGAR THE SCREAMER,M/CP 97/4
CHONDU,M/CP 97/4
"DUGAN, TIMOTHY ALOYI",NF3 33
"GYRICH, HENRY PETER",NF3 33
VIOLENCE,NF3 33
ANGAR THE SCREAMER,NF3 33
OVERRIDER,NF3 33
KNOCKABOUT,NF3 33
MAD DOG,NF3 33
ASSAULT,NF3 33
"BRIDGE, GEORGE WASHI",NF3 33
PSI-BORG,NF3 33
IVORY,NF3 33
BATTERY,NF3 33
SMOKESCREAM,NF3 33
"FURY, COL. NICHOLAS",NF3 33
"BRIDGE, GEORGE WASHI",NF3 34
BATTERY,NF3 34
KNOCKABOUT,NF3 34
"FURY, COL. NICHOLAS",NF3 34
PSI-BORG,NF3 34
VIOLENCE,NF3 34
SMOKESCREAM,NF3 34
OVERRIDER,NF3 34
"DUGAN, TIMOTHY ALOYI",NF3 34
ASSAULT,NF3 34
MAD DOG,NF3 34
ANGAR THE SCREAMER,NF3 34
IVORY,NF3 34
ASSAULT,NF3 35
BATTERY,NF3 35
SMOKESCREAM,NF3 35
"DUGAN, TIMOTHY ALOYI",NF3 35
MAD DOG,NF3 35
VIOLENCE,NF3 35
ANGAR THE SCREAMER,NF3 35
KNOCKABOUT,NF3 35
PSI-BORG,NF3 35
IVORY,NF3 35
OVERRIDER,NF3 35
"FURY, COL. NICHOLAS",NF3 35
"BRIDGE, GEORGE WASHI",NF3 35
ARMADILLO,TB '97
"JZEMLICO, WARDEN",TB '97
IRONCLAD,TB '97
VECTOR,TB '97
MOONSTONE II,TB '97
WIZARD,TB '97
POWER MAN,TB '97
DAREDEVIL,TB '97
SCREAMING MIMI,TB '97
JOLT,TB '97
ORKA,TB '97
KAINE,TB '97
CITIZEN V II,TB '97
BEETLE,TB '97
VISION,TB '97
MADCAP,TB '97
HYDROMAN,TB '97
ANGAR THE SCREAMER,TB '97
WHIZZER III,TB '97
VAPOR,TB '97
RADIOACTIVE MAN,TB '97
X-RAY,TB '97
MANDRILL,TB '97
FIXER II,TB '97
"WORTHINGTON, WARREN",UX 54/2
ANGEL,UX 54/2
"WORTHINGTON, KATHRYN",UX 54/2
MISS LOCKE,M/FAN 50
ANGEL,M/FAN 50
ARCADE,M/FAN 50
SKIDS,M/FAN 50
BOOMER,M/FAN 50
"MADDICKS, ARTHUR ART",M/FAN 50
BEAST,M/FAN 50
ICEMAN,M/FAN 50
CYCLOPS,XF 47
"HODGE, CAMERON",XF 47
MARVEL GIRL,XF 47
ANGEL,XF 47
CYCLOPS,UX 55/2
ICEMAN,UX 55/2
ANGEL,UX 55/2
PROFESSOR X,UX 55/2
ANGEL,UX 56/2
ICEMAN,UX 56/2
PROFESSOR X,UX 56/2
CYCLOPS,UX 56/2
ANGEL,UX 51/2
"MCCOY, EDNA ANDREWS",UX 51/2
CYCLOPS,UX 51/2
EL CONQUISTADOR,UX 51/2
BEAST,UX 51/2
PROFESSOR X,UX 51/2
ICEMAN,UX 51/2
"MCCOY, NORTON",UX 51/2
ANGEL,UX 52/2
CYCLOPS,UX 52/2
PROFESSOR X,UX 52/2
ICEMAN,UX 52/2
BEAST,UX 52/2
"MCCOY, NORTON",UX 52/2
"MCCOY, EDNA ANDREWS",UX 52/2
EL CONQUISTADOR,UX 52/2
"MCCOY, EDNA ANDREWS",UX 53/2
EL CONQUISTADOR,UX 53/2
"MCCOY, NORTON",UX 53/2
BEAST,UX 53/2
ICEMAN,UX 53/2
CYCLOPS,UX 53/2
PROFESSOR X,UX 53/2
ANGEL,UX 53/2
ICEMAN,M/CP 85/3
CYCLOPS,M/CP 85/3
SHIP,M/CP 85/3
BEAST,M/CP 85/3
ANGEL,M/CP 85/3
COMMANDER COURAGE,M/CP 85/3
PROFESSOR X,M/CP 85/3
ANGEL,UX 1
MAGNETO,UX 1
ICEMAN,UX 1
BEAST,UX 1
MARVEL GIRL,UX 1
PROFESSOR X,UX 1
CYCLOPS,UX 1
ANGEL,UX 2
MARVEL GIRL,UX 2
BEAST,UX 2
VANISHER,UX 2
PROFESSOR X,UX 2
"DUNCAN, FRED",UX 2
CYCLOPS,UX 2
ICEMAN,UX 2
ANGEL,TOS 49
IRON MAN,TOS 49
ICEMAN,TOS 49
WASP,TOS 49
BEAST,TOS 49
"HOGAN, VIRGINIA PEPP",TOS 49
CYCLOPS,TOS 49
HULK,TOS 49
ANT-MAN,TOS 49
MARVEL GIRL,TOS 49
"HOGAN, HAROLD J. HAP",TOS 49
PROFESSOR X,TOS 49
THOR,TOS 49
SPIDER-MAN,A 3
THOR,A 3
CYCLOPS,A 3
IRON MAN,A 3
MARVEL GIRL,A 3
INVISIBLE WOMAN,A 3
HUMAN TORCH,A 3
WASP,A 3
ICEMAN,A 3
ANGEL,A 3
PROFESSOR X,A 3
THING,A 3
MR. FANTASTIC,A 3
"KINCAID, DR. JANE FO",A 3
"JONES, RICHARD MILHO",A 3
BEAST,A 3
ANT-MAN,A 3
HULK,A 3
SUB-MARINER,A 3
CYCLOPS,UX 3
BEAST,UX 3
ICEMAN,UX 3
BLOB,UX 3
ANGEL,UX 3
PROFESSOR X,UX 3
MARVEL GIRL,UX 3
ANGEL,THOR CORPS 3
PROFESSOR X,THOR CORPS 3
MARVEL GIRL,THOR CORPS 3
NIGHT RIDER,THOR CORPS 3
ICEMAN,THOR CORPS 3
CYCLOPS,THOR CORPS 3
BEAST,THOR CORPS 3
PROFESSOR X,UX 4
MAGNETO,UX 4
MARVEL GIRL,UX 4
QUICKSILVER,UX 4
ANGEL,UX 4
CYCLOPS,UX 4
ICEMAN,UX 4
BEAST,UX 4
MASTERMIND,UX 4
TOAD,UX 4
SCARLET WITCH,UX 4
MARVEL GIRL,UX 5
"GREY, ELAINE",UX 5
PROFESSOR X,UX 5
CYCLOPS,UX 5
TOAD,UX 5
BEAST,UX 5
ANGEL,UX 5
MASTERMIND,UX 5
MAGNETO,UX 5
ICEMAN,UX 5
QUICKSILVER,UX 5
"GREY, DR. JOHN",UX 5
SCARLET WITCH,UX 5
INVISIBLE WOMAN,ST 120
HUMAN TORCH,ST 120
MARVEL GIRL,ST 120
CAPTAIN BARRACUDA,ST 120
"EVANS, DORIS",ST 120
THING,ST 120
ICEMAN,ST 120
PROFESSOR X,ST 120
MR. FANTASTIC,ST 120
ANGEL,ST 120
PROFESSOR X,FF 28
CYCLOPS,FF 28
PUPPET MASTER,FF 28
THING,FF 28
BEAST,FF 28
MR. FANTASTIC,FF 28
THINKER,FF 28
INVISIBLE WOMAN,FF 28
ANGEL,FF 28
MARVEL GIRL,FF 28
"MASTERS, ALICIA REIS",FF 28
ICEMAN,FF 28
HUMAN TORCH,FF 28
ANGEL,MARVELS 2
IRON MAN,MARVELS 2
HELLCAT,MARVELS 2
DR. STRANGE,MARVELS 2
"DUGAN, TIMOTHY ALOYI",MARVELS 2
BEAST,MARVELS 2
THING,MARVELS 2
CYCLOPS,MARVELS 2
ANT-MAN,MARVELS 2
"JONES, GABE",MARVELS 2
THOR,MARVELS 2
MARVEL GIRL,MARVELS 2
RADIOACTIVE MAN,MARVELS 2
MELTER,MARVELS 2
WASP,MARVELS 2
"KINCAID, DR. JANE FO",MARVELS 2
BLACK KNIGHT IV,MARVELS 2
PROFESSOR X,MARVELS 2
QUICKSILVER,MARVELS 2
CAPTAIN AMERICA,MARVELS 2
DAREDEVIL,MARVELS 2
HUMAN TORCH,MARVELS 2
"SHELDON, PHIL",MARVELS 2
SCARLET WITCH,MARVELS 2
SENTINELS,MARVELS 2
INVISIBLE WOMAN,MARVELS 2
MR. FANTASTIC,MARVELS 2
HAWK,MARVELS 2
ICEMAN,MARVELS 2
MASTERMIND,UX 6
QUICKSILVER,UX 6
TOAD,UX 6
BEAST,UX 6
MAGNETO,UX 6
ICEMAN,UX 6
SCARLET WITCH,UX 6
MARVEL GIRL,UX 6
ANGEL,UX 6
PROFESSOR X,UX 6
SUB-MARINER,UX 6
CYCLOPS,UX 6
DR. OCTOPUS,ASM@ 1
MYSTERIO,ASM@ 1
THING,ASM@ 1
ANT-MAN,ASM@ 1
CYCLOPS,ASM@ 1
SPIDER-MAN,ASM@ 1
"PARKER, MAY",ASM@ 1
ELECTRO,ASM@ 1
"JAMESON, J. JONAH",ASM@ 1
VULTURE,ASM@ 1
PROFESSOR X,ASM@ 1
"LEEDS, BETTY BRANT",ASM@ 1
IRON MAN,ASM@ 1
ANGEL,ASM@ 1
CAPTAIN AMERICA,ASM@ 1
SANDMAN,ASM@ 1
INVISIBLE WOMAN,ASM@ 1
ICEMAN,ASM@ 1
HUMAN TORCH,ASM@ 1
MR. FANTASTIC,ASM@ 1
KRAVEN THE HUNTER,ASM@ 1
"THOMPSON, EUGENE FLA",ASM@ 1
THOR,ASM@ 1
"OSBORN, LIZ ALLAN",ASM@ 1
DR. STRANGE,ASM@ 1
WASP,ASM@ 1
BEAST,ASM@ 1
THOR,JIM 109
QUICKSILVER,JIM 109
MASTERMIND,JIM 109
SCARLET WITCH,JIM 109
"KINCAID, DR. JANE FO",JIM 109
MAGNETO,JIM 109
TOAD,JIM 109
CYCLOPS,JIM 109
BEAST,JIM 109
ICEMAN,JIM 109
ANGEL,JIM 109
ICEMAN,UTSM 21
ANGEL,UTSM 21
CYCLOPS,UTSM 21
SPIDER-MAN,UTSM 21
"IONELLO, JASON",UTSM 21
"LEEDS, BETTY BRANT",UTSM 21
BEAST,UTSM 21
"OSBORN, LIZ ALLAN",UTSM 21
MARVEL GIRL,UTSM 21
"THOMPSON, EUGENE FLA",UTSM 21
"PARKER, MAY",UTSM 21
PROFESSOR X,XCAL: XX CROSSING
ICEMAN,XCAL: XX CROSSING
BEAST,XCAL: XX CROSSING
ANGEL,XCAL: XX CROSSING
CYCLOPS,XCAL: XX CROSSING
MARVEL GIRL,XCAL: XX CROSSING
BEAST,UX 7
TOAD,UX 7
BLOB,UX 7
BERNARD THE POET,UX 7
CYCLOPS,UX 7
PROFESSOR X,UX 7
MASTERMIND,UX 7
SCARLET WITCH,UX 7
ICEMAN,UX 7
ANGEL,UX 7
ZELDA,UX 7
QUICKSILVER,UX 7
MAGNETO,UX 7
MARVEL GIRL,UX 7
ICEMAN,UX 8
MASTERMIND,UX 8
PROFESSOR X,UX 8
UNUS THE UNTOUCHABLE,UX 8
ANGEL,UX 8
BEAST,UX 8
MARVEL GIRL,UX 8
CYCLOPS,UX 8
CYCLOPS,UTSM '97
"HOGAN, HAROLD J. HAP",UTSM '97
"THOMPSON, EUGENE FLA",UTSM '97
SUB-MARINER,UTSM '97
THOR,UTSM '97
GREEN GOBLIN,UTSM '97
"PARKER, MAY",UTSM '97
BEAST,UTSM '97
WASP,UTSM '97
ICEMAN,UTSM '97
SPIDER-MAN,UTSM '97
DR. STRANGE,UTSM '97
WONG,UTSM '97
HULK,UTSM '97
INVISIBLE WOMAN,UTSM '97
IRON MAN,UTSM '97
THING,UTSM '97
MR. FANTASTIC,UTSM '97
"OSBORN, LIZ ALLAN",UTSM '97
ANGEL,UTSM '97
HUMAN TORCH,UTSM '97
CAPTAIN AMERICA,UTSM '97
SUNDOWN,UTSM '97
"LEEDS, BETTY BRANT",UTSM '97
"MCKEEVER, TINY",UTSM '97
"IONELLO, JASON",UTSM '97
DAREDEVIL,UTSM '97
"JAMESON, J. JONAH",UTSM '97
ANT-MAN,UTSM '97
MARVEL GIRL,UTSM '97
ICEMAN,UX 9
MARVEL GIRL,UX 9
IRON MAN,UX 9
LUCIFER,UX 9
WASP,UX 9
BEAST,UX 9
ANT-MAN,UX 9
THOR,UX 9
PROFESSOR X,UX 9
ANGEL,UX 9
CYCLOPS,UX 9
CAPTAIN AMERICA,UX 9
"MASTERS, ALICIA REIS",FF 36
MR. FANTASTIC,FF 36
BEAST,FF 36
ANT-MAN,FF 36
ANGEL,FF 36
HUMAN TORCH,FF 36
MARVEL GIRL,FF 36
MEDUSA,FF 36
TRAPSTER,FF 36
INVISIBLE WOMAN,FF 36
SPIDER-MAN,FF 36
WASP,FF 36
SANDMAN,FF 36
PROFESSOR X,FF 36
CYCLOPS,FF 36
ICEMAN,FF 36
IRON MAN,FF 36
THING,FF 36
CAPTAIN AMERICA,FF 36
WIZARD,FF 36
"JONES, RICHARD MILHO",FF 36
THOR,FF 36
ICEMAN,UX 10
CYCLOPS,UX 10
PROFESSOR X,UX 10
BEAST,UX 10
ANGEL,UX 10
KA-ZAR,UX 10
MARVEL GIRL,UX 10
MAA-GOR,UX 10
ZABU,UX 10
BEAST,UX 11
CYCLOPS,UX 11
MARVEL GIRL,UX 11
MASTERMIND,UX 11
STRANGER,UX 11
ANGEL,UX 11
SCARLET WITCH,UX 11
TOAD,UX 11
QUICKSILVER,UX 11
MAGNETO,UX 11
PROFESSOR X,UX 11
ICEMAN,UX 11
CYCLOPS,UX 12
ANGEL,UX 12
JUGGERNAUT,UX 12
"MARKO, KURT",UX 12
MARVEL GIRL,UX 12
BEAST,UX 12
PROFESSOR X,UX 12
ICEMAN,UX 12
BEAST,UX 13
PROFESSOR X,UX 13
ANGEL,UX 13
CYCLOPS,UX 13
ICEMAN,UX 13
DAREDEVIL,UX 13
JUGGERNAUT,UX 13
HUMAN TORCH,UX 13
MARVEL GIRL,UX 13
BEAST,XMF 3
DESTINY II,XMF 3
CYCLOPS,XMF 3
ICEMAN,XMF 3
MYSTIQUE,XMF 3
"KELLY, SEN. ROBERT E",XMF 3
BLACK TOM CASSIDY,XMF 3
JUGGERNAUT,XMF 3
PROSH,XMF 3
MAGNETO,XMF 3
MARVEL GIRL,XMF 3
STRANGER,XMF 3
PROFESSOR X,XMF 3
ANGEL,XMF 3
SIRYN,XMF 3
TOAD,XMF 3
SCARECROW,FF@ 3
HAWK,FF@ 3
"FURY, COL. NICHOLAS",FF@ 3
SUPER SKRULL,FF@ 3
MR. FANTASTIC,FF@ 3
UNICORN,FF@ 3
PORCUPINE,FF@ 3
ICEMAN,FF@ 3
SPIDER-MAN,FF@ 3
HUMAN TORCH,FF@ 3
MISTER HYDE,FF@ 3
MANDARIN,FF@ 3
DAREDEVIL,FF@ 3
ELECTRO,FF@ 3
MOLE MAN,FF@ 3
RED GHOST,FF@ 3
DR. DOOM,FF@ 3
ENCHANTRESS,FF@ 3
QUICKSILVER,FF@ 3
IGOR,FF@ 3
"MASTERS, ALICIA REIS",FF@ 3
BLACK KNIGHT IV,FF@ 3
UATU,FF@ 3
"JONES, GABE",FF@ 3
PROFESSOR X,FF@ 3
WHIRLWIND,FF@ 3
MELTER,FF@ 3
BEAST,FF@ 3
BEETLE,FF@ 3
ANGEL,FF@ 3
"NELSON, FRANKLIN FOG",FF@ 3
PHARAOH RAMA-TUT,FF@ 3
"PAGE, KAREN",FF@ 3
EXECUTIONER II,FF@ 3
IRON MAN,FF@ 3
DIABLO,FF@ 3
MARVEL GIRL,FF@ 3
CAPTAIN AMERICA,FF@ 3
THING,FF@ 3
PUPPET MASTER,FF@ 3
THINKER,FF@ 3
EEL,FF@ 3
GREY GARGOYLE,FF@ 3
"DUGAN, TIMOTHY ALOYI",FF@ 3
MIKHLO,FF@ 3
DR. STRANGE,FF@ 3
ATTUMA,FF@ 3
HELLCAT,FF@ 3
COBRA,FF@ 3
INVISIBLE WOMAN,FF@ 3
PEATOR,FF@ 3
"LEE, STAN",FF@ 3
"KIRBY, JACK",FF@ 3
THOR,FF@ 3
CYCLOPS,FF@ 3
ICEMAN,M/H&L 1
MARVEL GIRL,M/H&L 1
BEETLE,M/H&L 1
UATU,M/H&L 1
CYCLOPS,M/H&L 1
SPIDER-MAN,M/H&L 1
ANGEL,M/H&L 1
BEAST,M/H&L 1
PROFESSOR X,M/H&L 1
CYCLOPS,UX 14
"WORTHINGTON, WARREN",UX 14
PROFESSOR X,UX 14
ANGEL,UX 14
"TRASK, DR. BOLIVAR",UX 14
BEAST,UX 14
SENTINELS,UX 14
"WORTHINGTON, KATHRYN",UX 14
BERNARD THE POET,UX 14
MARVEL GIRL,UX 14
ICEMAN,UX 14
ZELDA,UX 14
ICEMAN,UX 15
MARVEL GIRL,UX 15
ANGEL,UX 15
"TRASK, DR. BOLIVAR",UX 15
CYCLOPS,UX 15
"MCCOY, NORTON",UX 15
BEAST,UX 15
PROFESSOR X,UX 15
"MCCOY, EDNA ANDREWS",UX 15
MASTER MOLD,UX 15
SENTINELS,UX 15
PROFESSOR X,UX 16
MARVEL GIRL,UX 16
ICEMAN,UX 16
CYCLOPS,UX 16
BEAST,UX 16
MASTER MOLD,UX 16
SENTINELS,UX 16
ANGEL,UX 16
"TRASK, DR. BOLIVAR",UX 16
"WORTHINGTON, KATHRYN",UX 17
BEAST,UX 17
MAGNETO,UX 17
ICEMAN,UX 17
ANGEL,UX 17
PROFESSOR X,UX 17
"FREDERICKS, GENERAL",UX 17
MARVEL GIRL,UX 17
"THOMAS, DR. JOHN",UX 17
"WORTHINGTON, WARREN",UX 17
CYCLOPS,UX 17
PROFESSOR X,UX 18
MARVEL GIRL,UX 18
"WORTHINGTON, WARREN",UX 18
"WORTHINGTON, KATHRYN",UX 18
CYCLOPS,UX 18
BEAST,UX 18
"THOMAS, DR. JOHN",UX 18
STRANGER,UX 18
MAGNETO,UX 18
ICEMAN,UX 18
TOAD,UX 18
ANGEL,UX 18
ICEMAN,UX 19
PROFESSOR X,UX 19
MIMIC,UX 19
ZELDA,UX 19
BEAST,UX 19
"CANTOR, VERA",UX 19
CYCLOPS,UX 19
MARVEL GIRL,UX 19
ANGEL,UX 19
SUPREME ONE,UX 20
ANGEL,UX 20
BLOB,UX 20
PROFESSOR X,UX 20
LUCIFER,UX 20
UNUS THE UNTOUCHABLE,UX 20
MARVEL GIRL,UX 20
CYCLOPS,UX 20
ICEMAN,UX 20
BEAST,UX 20
CYCLOPS,UX 21
BEAST,UX 21
ICEMAN,UX 21
LUCIFER,UX 21
SUPREME ONE,UX 21
DOMINUS,UX 21
ANGEL,UX 21
PROFESSOR X,UX 21
MARVEL GIRL,UX 21
PLANTMAN,UX 22
CYCLOPS,UX 22
MARVEL GIRL,UX 22
ICEMAN,UX 22
BEAST,UX 22
SCARECROW,UX 22
ZELDA,UX 22
ANGEL,UX 22
PROFESSOR X,UX 22
EEL,UX 22
"CANTOR, VERA",UX 22
PORCUPINE,UX 22
UNICORN,UX 22
"COUNT NEFARIA, LUCHI",UX 22
"HENDERSHOOT, COLONEL",UX 23
PORCUPINE,UX 23
"COUNT NEFARIA, LUCHI",UX 23
"FREDERICKS, GENERAL",UX 23
ANGEL,UX 23
PLANTMAN,UX 23
ICEMAN,UX 23
PENANCE,UX 23
CYCLOPS,UX 23
SCARECROW,UX 23
BEAST,UX 23
EEL,UX 23
UNICORN,UX 23
MARVEL GIRL,UX 23
PROFESSOR X,UX 23
"ROBERTS, TED",UX 24
CYCLOPS,UX 24
LOCUST,UX 24
ANGEL,UX 24
ICEMAN,UX 24
PROFESSOR X,UX 24
BEAST,UX 24
MARVEL GIRL,UX 24
CYCLOPS,UX 25
PROFESSOR X,UX 25
EL TIGRE,UX 25
BEAST,UX 25
ANGEL,UX 25
ICEMAN,UX 25
RAMON,UX 25
KUKULCAN,UX 25
TOLOC,UX 25
MARVEL GIRL,UX 25
MIMIC,UX 26
KUKULCAN,UX 26
TOLOC,UX 26
RAMON,UX 26
"ROBERTS, TED",UX 26
ICEMAN,UX 26
ANGEL,UX 26
BEAST,UX 26
EL TIGRE,UX 26
PROFESSOR X,UX 26
MARVEL GIRL,UX 26
CYCLOPS,UX 26
PUPPET MASTER,UX 27
MIMIC,UX 27
PROFESSOR X,UX 27
CYCLOPS,UX 27
SPIDER-MAN,UX 27
SCARLET WITCH,UX 27
ZELDA,UX 27
ICEMAN,UX 27
MARVEL GIRL,UX 27
ANGEL,UX 27
"CANTOR, VERA",UX 27
QUICKSILVER,UX 27
"ROBERTS, TED",UX 27
BEAST,UX 27
THOR,ST 156
MR. FANTASTIC,ST 156
ANT-MAN,ST 156
IRON MAN,ST 156
DAREDEVIL,ST 156
SPIDER-MAN,ST 156
SCARLET WITCH,ST 156
ANGEL,ST 156
"DUGAN, TIMOTHY ALOYI",ST 156
MARVEL GIRL,ST 156
THING,ST 156
WASP,ST 156
BARON STRUCKER,ST 156
"BROWN, LAURA",ST 156
CAPTAIN AMERICA,ST 156
ICEMAN,ST 156
HULK,ST 156
BEAST,ST 156
"JONES, GABE",ST 156
PROFESSOR X,ST 156
HUMAN TORCH,ST 156
INVISIBLE WOMAN,ST 156
CYCLOPS,ST 156
"SITWELL, JASPER",ST 156
"FURY, COL. NICHOLAS",ST 156
HAWK,ST 156
BEAST,UX 28
"ROBERTS, TED",UX 28
BANSHEE,UX 28
ICEMAN,UX 28
CYCLOPS,UX 28
OGRE,UX 28
MARVEL GIRL,UX 28
MIMIC,UX 28
ANGEL,UX 28
PROFESSOR X,UX 28
MIMIC,UX 29
MARVEL GIRL,UX 29
BEAST,UX 29
ICEMAN,UX 29
PROFESSOR X,UX 29
SUPER-ADAPTOID,UX 29
ANGEL,UX 29
CYCLOPS,UX 29
ICEMAN,UX 30
PROFESSOR X,UX 30
CYCLOPS,UX 30
BEAST,UX 30
ANGEL,UX 30
MAHA YOGI,UX 30
MARVEL GIRL,UX 30
"CANTOR, VERA",UX 31
MARVEL GIRL,UX 31
BEAST,UX 31
BERNARD THE POET,UX 31
COBALT MAN,UX 31
PROFESSOR X,UX 31
CYCLOPS,UX 31
"ROBERTS, TED",UX 31
"SOUTHERN, CANDY",UX 31
ZELDA,UX 31
ANGEL,UX 31
ICEMAN,UX 31
"SOUTHERN, CANDY",UX 32
"CANTOR, VERA",UX 32
BEAST,UX 32
PROFESSOR X,UX 32
BERNARD THE POET,UX 32
JUGGERNAUT,UX 32
ICEMAN,UX 32
ZELDA,UX 32
MARVEL GIRL,UX 32
CYCLOPS,UX 32
ANGEL,UX 32
ICEMAN,UX 34
MOLE MAN,UX 34
CYCLOPS,UX 34
ANGEL,UX 34
MARVEL GIRL,UX 34
COBALT MAN,UX 34
BEAST,UX 34
"ROBERTS, TED",UX 34
TYRANNUS,UX 34
CHANGELING,UX 35
ICEMAN,UX 35
ANGEL,UX 35
CYCLOPS,UX 35
MARVEL GIRL,UX 35
BANSHEE,UX 35
SPIDER-MAN,UX 35
BEAST,UX 35
MARVEL GIRL,UX 36
ICEMAN,UX 36
ANGEL,UX 36
